,Temperature,ReactionCoordinate,Repeat,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,postTemperature,MaxJump,Valid
37,0.0,0.4,2,1,1,1,-2828.138263588125,8.018300271580864e-07,0.4982520813033154,2.7755575615628914e-17,-0.2525177688898321,-0.2525177688898321,2.240535827200682e-06,0.0034973735832253554,True
38,0.0,0.4,2,1,1,1,-2828.138263588125,8.018300271580864e-07,0.4982520813033154,2.7755575615628914e-17,-0.2525177688898321,-0.2525177688898321,2.240535827200682e-06,0.0034973735832253554,True
39,0.0,0.4,2,1,1,1,-2828.138263588125,8.018300271580864e-07,0.4982520813033154,2.7755575615628914e-17,-0.2525177688898321,-0.2525177688898321,2.240535827200682e-06,0.0034973735832253554,True
40,0.0,0.5,1,1,1,1,-2828.1089485993734,2.652982070700444e-07,0.0897069218897261,0.0,-0.045064750682980055,-0.045064750682980055,3.930616139969937e-07,0.0004850570459732918,True
41,0.0,0.5,1,1,1,1,-2828.1089485993734,2.652982070700444e-07,0.0897069218897261,0.0,-0.045064750682980055,-0.045064750682980055,3.930616139969937e-07,0.0004850570459732918,True
42,0.0,0.5,1,1,1,1,-2828.1089485993734,2.652982070700444e-07,0.0897069218897261,0.0,-0.045064750682980055,-0.045064750682980055,3.930616139969937e-07,0.0004850570459732918,True
43,0.0,0.5,1,1,1,1,-2828.1089485993734,2.652982070700444e-07,0.0897069218897261,0.0,-0.045064750682980055,-0.045064750682980055,3.930616139969937e-07,0.0004850570459732918,True
44,0.0,0.5,2,1,1,1,-2828.1089485993734,1.7990903607690948e-07,0.08970673516113875,1.734723475976807e-18,-0.04506465687887825,-0.04506465687887825,2.9415611090211873e-07,0.00048522072042797565,True
45,0.0,0.5,2,1,1,1,-2828.1089485993734,1.7990903607690948e-07,0.08970673516113875,1.734723475976807e-18,-0.04506465687887825,-0.04506465687887825,2.9415611090211873e-07,0.00048522072042797565,True
46,0.0,0.5,2,1,1,1,-2828.1089485993734,1.7990903607690948e-07,0.08970673516113875,1.734723475976807e-18,-0.04506465687887825,-0.04506465687887825,2.9415611090211873e-07,0.00048522072042797565,True
47,0.0,0.5,2,1,1,1,-2828.1089485993734,1.7990903607690948e-07,0.08970673516113875,1.734723475976807e-18,-0.04506465687887825,-0.04506465687887825,2.9415611090211873e-07,0.00048522072042797565,True
48,0.0,0.6000000000000001,1,1,1,1,-2828.119987698242,4.431510003941812e-07,-0.31578829617965737,0.0,0.15781246990307524,0.15781246990307524,1.3253879240420203e-06,0.001723932285474399,True
49,0.0,0.6000000000000001,1,1,1,1,-2828.119987698242,4.431510003941812e-07,-0.31578829617965737,0.0,0.15781246990307524,0.15781246990307524,1.3253879240420203e-06,0.001723932285474399,True
