,Temperature,ReactionCoordinate,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,PathEnergy,postTemperature,MaxJump,Valid,Repeat
13,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
14,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
15,0.0,0.125,1,1,1,-481.6672515686764,2.8556554358237685e-28,-38.946489270672906,0.0,1.0,6.959699306633707e-15,-481.6627410369356,6.2891246746067e-28,5.437874732159695e-19,True,1
16,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
17,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
18,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
19,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
20,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
21,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
22,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
23,0.0,0.25,1,1,1,-484.22161329981435,1.5548938342270047e-28,-7.371534329090153,0.0,1.0,1.8719760292615468e-18,-484.22884811926014,3.416305776904511e-28,1.1029747544810506e-18,True,1
24,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
25,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
26,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
27,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
28,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
29,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
30,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
31,0.0,0.375,1,1,1,-484.0059956546148,2.5788090555845157e-28,10.453669740488541,0.0,1.0,2.6992341506760924e-18,-484.0072928692187,5.66030172954173e-28,1.392666158701936e-18,True,1
32,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
33,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
34,0.0,0.5,1,1,1,-481.6025819057525,1.8642831627957668e-28,28.378410605515803,0.0,1.0,1.3483589759658586e-18,-481.60064944286603,4.07844843794851e-28,8.388426765554651e-19,True,1
