,Temperature,ReactionCoordinate,SampleSteps,ThermSteps,ThermWindow,MinEnergy,preTemperature,FreeEnergyGradient,FreeEnergyGradientVariance,avePsi,dXTangent,PathEnergy,postTemperature,MaxJump,Valid,Repeat
105,30.0,0.5,2000,1000,100,-484.0913474982039,28.49099513077622,2.1264173005859117,3.7302399280037407e-29,0.9999999999996149,6.292657549479205e-15,-484.23431035702214,29.915433679398795,0.19052711535274794,True,1
106,30.0,0.5,2000,1000,100,-484.0913474982039,29.577090846170094,2.104532478201326,4.4989454958631683e-29,0.9999999999996195,2.5964264423711218e-14,-484.23431035702214,29.415417577476415,0.1905274377601361,True,1
107,30.0,0.5,2000,1000,100,-484.0913474982039,29.39356797242754,2.1061341972433123,3.905303261981595e-29,0.9999999999996109,2.7698228995867632e-14,-484.23431035702214,29.17819259335959,0.1905288061587358,True,1
108,30.0,0.5,2000,1000,100,-484.0913474982039,29.412837731531255,2.1072274186501483,3.766441245799319e-29,0.9999999999996355,2.6687124820184402e-14,-484.23431035702214,29.64131853386988,0.19052534379982036,True,1
109,30.0,0.5,2000,1000,100,-484.0913474982039,29.373359721510322,2.1212707910773,3.3270974120835936e-29,0.9999999999996362,3.114070793004281e-14,-484.23431035702214,30.360896970905507,0.19053078506396876,True,1
110,30.0,0.5,2000,1000,100,-484.0913474982039,30.760172437716914,2.1250474053221065,3.025943333582302e-29,0.9999999999996506,1.3295614947575239e-14,-484.23431035702214,29.1122055864644,0.19052999423996156,True,1
111,30.0,0.5,2000,1000,100,-484.0913474982039,29.063085806605503,2.113600275429015,4.314182022781089e-29,0.9999999999996277,5.847489217422834e-15,-484.23431035702214,28.896774008205764,0.19053020052072356,True,1
112,30.0,0.625,2000,1000,100,-483.78021705355314,33.92773716285557,3.538498452423778,8.297065127168046e-29,1.0000000000004885,9.739253980618296e-15,-483.9464727347531,30.07590083373955,0.30955894456214145,True,1
113,30.0,0.625,2000,1000,100,-483.78021705355314,29.32339585400384,3.548368699629194,1.1151595028160848e-28,1.0000000000004983,2.2473595869949318e-15,-483.9464727347531,30.552560823453753,0.30955823632435686,True,1
114,30.0,0.625,2000,1000,100,-483.78021705355314,31.00697103001123,3.545207528446218,8.084028694328955e-29,1.0000000000005145,8.489316384447354e-15,-483.9464727347531,30.57466175789515,0.3095587353280611,True,1
115,30.0,0.625,2000,1000,100,-483.78021705355314,32.18701202066164,3.5357903746202384,7.316350601824946e-29,1.000000000000489,3.3078234212860665e-15,-483.9464727347531,30.83567029374613,0.3095574553346966,True,1
116,30.0,0.625,2000,1000,100,-483.78021705355314,27.61764175938242,3.529562996671343,8.81325119623311e-29,1.0000000000005156,5.919336887385608e-15,-483.9464727347531,29.305145287317302,0.3095563322349861,True,1
117,30.0,0.625,2000,1000,100,-483.78021705355314,28.813489238172124,3.525738417895172,8.208262833265112e-29,1.0000000000005098,6.832061734757697e-15,-483.9464727347531,28.986876322096894,0.3095579701331543,True,1
118,30.0,0.625,2000,1000,100,-483.78021705355314,30.138859544512357,3.531396956470999,1.0564592658582358e-28,1.000000000000505,1.7346700553820595e-14,-483.9464727347531,29.880232937847186,0.3095580714136306,True,1
119,30.0,0.625,2000,1000,100,-483.78021705355314,28.673797596125794,3.533197391597699,1.245849650209451e-28,1.0000000000005078,5.9747736986366874e-15,-483.9464727347531,29.40066914966799,0.3095568582930625,True,1
120,30.0,0.75,2000,1000,100,-483.44279990118235,30.436355889899083,5.333682742232407,3.448805635167265e-28,0.9999999999999576,1.8025778245544426e-14,-483.45056609747974,29.25620831030124,0.42849524276262313,False,1
121,30.0,0.75,2000,1000,100,-483.44279990118235,27.998085121722298,5.33611342500603,3.6678934513934287e-28,0.9999999999999541,3.532901943447177e-15,-483.45056609747974,29.336591461146984,0.4284948193677,False,1
122,30.0,0.75,2000,1000,100,-483.44279990118235,30.35546739381664,5.335346837860068,5.893699421252955e-28,0.9999999999999514,2.9275948678575988e-15,-483.45056609747974,28.740586207962764,0.4284941366353961,False,1
123,30.0,0.75,2000,1000,100,-483.44279990118235,30.95065034121902,5.3408200721947345,2.8037184759679994e-28,0.9999999999999493,1.7664901696165188e-14,-483.45056609747974,30.195900146923744,0.4284941322027857,False,1
124,30.0,0.75,2000,1000,100,-483.44279990118235,26.91235642931775,5.357518563264154,5.421150179178804e-28,0.9999999999999561,3.868869643282239e-15,-483.45056609747974,31.00922057770912,0.4284953677277299,False,1
125,30.0,0.75,2000,1000,100,-483.44279990118235,27.92825376800983,5.333764762494914,4.513152090545197e-28,0.9999999999999488,4.877683584840796e-15,-483.45056609747974,29.4617946330425,0.4284943788846697,False,1
126,30.0,0.75,2000,1000,100,-483.44279990118235,31.700806687606136,5.339257787351554,3.612417715431021e-28,0.9999999999999564,8.16514897369042e-15,-483.45056609747974,29.87254351521737,0.42849332606340174,False,1
127,30.0,0.75,2000,1000,100,-483.44279990118235,27.06636888731509,5.322115601731988,3.6265809209410004e-28,0.9999999999999526,4.353147859355908e-15,-483.45056609747974,29.49848186702846,0.42849507448921637,False,1
128,30.0,0.875,2000,1000,100,-482.5496252254374,27.33373682901783,7.8944468125640395,1.007606591221946e-27,0.9999999999997582,1.9809844929727036e-14,-482.6701909486136,30.327948615655064,0.5473067571547956,False,1
129,30.0,0.875,2000,1000,100,-482.5496252254374,30.801530938661717,7.883792840811016,1.3221932667024232e-27,0.9999999999997594,1.2616307912526549e-14,-482.6701909486136,29.329698014789308,0.5473048782535922,False,1
130,30.0,0.875,2000,1000,100,-482.5496252254374,29.374341189522138,7.883172601265874,9.190723195326838e-28,0.9999999999997442,9.650724877759576e-15,-482.6701909486136,30.20076140720146,0.5473050027670041,False,1
